id	GeneID	Description	Aliases	Mechanism	Isoform1	Isoform2	Time1	Time2
2793	AT3G27190	One of the homologous genes predicted to encode proteins with UPRT domains (Uracil phosphoribosyltransferase). Five of these genes (At5g40870, At3g27190, At1g55810, At4g26510 and At3g27440) show a high level of identity, and are annotated as also containing a N-terminal uracil kinase (UK) domain. These genes are referred to as UKL1 (UK-like 1), UKL2, UKL3, UKL4 and UKL5, respectively.	UKL2	A3	AT3G27190_ID3	AT3G27190_P1	WT_24h	WT_0h
2794	AT3G27190	One of the homologous genes predicted to encode proteins with UPRT domains (Uracil phosphoribosyltransferase). Five of these genes (At5g40870, At3g27190, At1g55810, At4g26510 and At3g27440) show a high level of identity, and are annotated as also containing a N-terminal uracil kinase (UK) domain. These genes are referred to as UKL1 (UK-like 1), UKL2, UKL3, UKL4 and UKL5, respectively.	UKL2	MES	AT3G27190_ID3	AT3G27190_P1	WT_24h	WT_0h
2797	AT3G27925	Encodes a DegP protease; nuclear gene encoding chloroplast-targeted protease that can degrade two lumenal proteins, plastocyanin and OE33, suggesting a role as a general-purpose protease in the thylakoid lumen.  Involved in the degradation of D1 protein of PS II, hence participating in the repair of PS II damages caused by photoinhibition. The mRNA is cell-to-cell mobile.	DEG1,DEGP1	IR	AT3G27925_P1	AT3G27925_P2	WT_24h	WT_0h
2908	AT3G58610	ketol-acid reductoisomerase;(source:Araport11)		IR	AT3G58610_ID7	AT3G58610_ID9	WT_24h	WT_0h
2909	AT3G58610	ketol-acid reductoisomerase;(source:Araport11)		MES	AT3G58610_ID7	AT3G58610_ID9	WT_24h	WT_0h
3088	AT4G25910	Encodes a protein containing the NFU domain that may be involved in iron-sulfur cluster assembly. Part of a five member gene family, more closely related to NFU1 and 2 than to NFU4 and 5. Targeted to the chloroplast. The mRNA is cell-to-cell mobile.	ATCNFU3,NFU3	A3	AT4G25910_s1	AT4G25910_ID1	WT_24h	WT_0h
3089	AT4G25910	Encodes a protein containing the NFU domain that may be involved in iron-sulfur cluster assembly. Part of a five member gene family, more closely related to NFU1 and 2 than to NFU4 and 5. Targeted to the chloroplast. The mRNA is cell-to-cell mobile.	ATCNFU3,NFU3	IR	AT4G25910_P1	AT4G25910_ID1	WT_24h	WT_0h
3090	AT4G25910	Encodes a protein containing the NFU domain that may be involved in iron-sulfur cluster assembly. Part of a five member gene family, more closely related to NFU1 and 2 than to NFU4 and 5. Targeted to the chloroplast. The mRNA is cell-to-cell mobile.	ATCNFU3,NFU3	IR	AT4G25910_s1	AT4G25910_ID1	WT_24h	WT_0h
3109	AT4G27440	light-dependent NADPH:protochlorophyllide oxidoreductase B The mRNA is cell-to-cell mobile.	PORB	IR	AT4G27440.1	AT4G27440.2	WT_24h	WT_0h
3118	AT4G29060	Involved in chloroplast biogenesis and early embryo development. May function as an EF-Ts to regulate plastid translation.	emb2726	A3	AT4G29060_ID60	AT4G29060_ID66	WT_24h	WT_0h
3119	AT4G29060	Involved in chloroplast biogenesis and early embryo development. May function as an EF-Ts to regulate plastid translation.	emb2726	A3	AT4G29060_P1	AT4G29060_ID66	WT_24h	WT_0h
3120	AT4G29060	Involved in chloroplast biogenesis and early embryo development. May function as an EF-Ts to regulate plastid translation.	emb2726	A5	AT4G29060_P1	AT4G29060_ID66	WT_24h	WT_0h
3121	AT4G29060	Involved in chloroplast biogenesis and early embryo development. May function as an EF-Ts to regulate plastid translation.	emb2726	ES	AT4G29060_ID60	AT4G29060_ID66	WT_24h	WT_0h
3122	AT4G29060	Involved in chloroplast biogenesis and early embryo development. May function as an EF-Ts to regulate plastid translation.	emb2726	ES	AT4G29060_P1	AT4G29060_ID66	WT_24h	WT_0h
3123	AT4G29060	Involved in chloroplast biogenesis and early embryo development. May function as an EF-Ts to regulate plastid translation.	emb2726	IR	AT4G29060_ID60	AT4G29060_ID66	WT_24h	WT_0h
3124	AT4G29060	Involved in chloroplast biogenesis and early embryo development. May function as an EF-Ts to regulate plastid translation.	emb2726	MES	AT4G29060_ID60	AT4G29060_ID66	WT_24h	WT_0h
3125	AT4G29060	Involved in chloroplast biogenesis and early embryo development. May function as an EF-Ts to regulate plastid translation.	emb2726	A3	AT4G29060_P1	AT4G29060_ID84	WT_24h	WT_0h
3126	AT4G29060	Involved in chloroplast biogenesis and early embryo development. May function as an EF-Ts to regulate plastid translation.	emb2726	A3	AT4G29060_ID60	AT4G29060_ID84	WT_24h	WT_0h
3127	AT4G29060	Involved in chloroplast biogenesis and early embryo development. May function as an EF-Ts to regulate plastid translation.	emb2726	A5	AT4G29060_ID60	AT4G29060_ID84	WT_24h	WT_0h
3128	AT4G29060	Involved in chloroplast biogenesis and early embryo development. May function as an EF-Ts to regulate plastid translation.	emb2726	IR	AT4G29060_P1	AT4G29060_ID84	WT_24h	WT_0h
3129	AT4G29060	Involved in chloroplast biogenesis and early embryo development. May function as an EF-Ts to regulate plastid translation.	emb2726	MES	AT4G29060_ID60	AT4G29060_ID84	WT_24h	WT_0h
3130	AT4G29060	Involved in chloroplast biogenesis and early embryo development. May function as an EF-Ts to regulate plastid translation.	emb2726	MES	AT4G29060_P1	AT4G29060_ID84	WT_24h	WT_0h
3156	AT4G33580	beta carbonic anhydrase 5;(source:Araport11)	ATBCA5,BCA5	A5	AT4G33580_JC19	AT4G33580_P1	WT_24h	WT_0h
3169	AT4G35770	Senescence-associated gene that is strongly induced by phosphate starvation.  Transcripts are differentially regulated at the level of mRNA stability at different times of day. mRNAs are targets of the mRNA degradation pathway mediated by the downstream (DST) instability determinant.	ATSEN1,DIN1,SEN1,SEN1	IR	AT4G35770_P1	AT4G35770_P2	WT_24h	WT_0h
3187	AT4G38380	MATE efflux family protein;(source:Araport11)		A3	AT4G38380_P3	AT4G38380_P5	WT_24h	WT_0h
3188	AT4G38380	MATE efflux family protein;(source:Araport11)		A5	AT4G38380_P3	AT4G38380_P5	WT_24h	WT_0h
3189	AT4G38380	MATE efflux family protein;(source:Araport11)		IR	AT4G38380_P3	AT4G38380_P5	WT_24h	WT_0h
3210	AT5G04140	Encodes a gene whose sequence is similar to ferredoxin dependent glutamate synthase (Fd-GOGAT). Expression in leaves is induced by light and sucrose. Proposed to be involved in photorespiration and nitrogen assimilation. The mRNA is cell-to-cell mobile.	FD-GOGAT,GLS1,GLU1,GLUS	IR	AT5G04140_P1	AT5G04140_s1	WT_24h	WT_0h
3211	AT5G04140	Encodes a gene whose sequence is similar to ferredoxin dependent glutamate synthase (Fd-GOGAT). Expression in leaves is induced by light and sucrose. Proposed to be involved in photorespiration and nitrogen assimilation. The mRNA is cell-to-cell mobile.	FD-GOGAT,GLS1,GLU1,GLUS	A3	AT5G04140_P1	AT5G04140_s2	WT_24h	WT_0h
3212	AT5G04140	Encodes a gene whose sequence is similar to ferredoxin dependent glutamate synthase (Fd-GOGAT). Expression in leaves is induced by light and sucrose. Proposed to be involved in photorespiration and nitrogen assimilation. The mRNA is cell-to-cell mobile.	FD-GOGAT,GLS1,GLU1,GLUS	A5	AT5G04140_P1	AT5G04140_s2	WT_24h	WT_0h
3213	AT5G04140	Encodes a gene whose sequence is similar to ferredoxin dependent glutamate synthase (Fd-GOGAT). Expression in leaves is induced by light and sucrose. Proposed to be involved in photorespiration and nitrogen assimilation. The mRNA is cell-to-cell mobile.	FD-GOGAT,GLS1,GLU1,GLUS	ES	AT5G04140_P1	AT5G04140_s2	WT_24h	WT_0h
3217	AT5G04360	Encodes an enzyme thought to be involved in the hydrolysis of the &	ATLDA,ATPU1,LDA,PU1	A3	AT5G04360_JS18	AT5G04360_P2	WT_24h	WT_0h
3218	AT5G04360	Encodes an enzyme thought to be involved in the hydrolysis of the &	ATLDA,ATPU1,LDA,PU1	A5	AT5G04360_JS18	AT5G04360_P2	WT_24h	WT_0h
3219	AT5G04360	Encodes an enzyme thought to be involved in the hydrolysis of the &	ATLDA,ATPU1,LDA,PU1	IR	AT5G04360_JS18	AT5G04360_P2	WT_24h	WT_0h
3243	AT5G09820	Encodes fibrillin 5 (FBN5). Located in chloroplast stroma. Essential for plastoquinone-9 biosynthesis. Stimulates enzymatic activity of solanesyl diphosphate synthases (SPS) 1 and 2 through binding to solanesyl moiety. Two splicing variants, named FBN5-A shorter one and FBN5-B longer one. FBN5-B is the protein detected in chloroplast stroma. Involved in plastoquinone  biosynthesis.	FBN5	IR	AT5G09820_ID9	AT5G09820_P2	WT_24h	WT_0h
3257	AT5G13410	FKBP-like peptidyl-prolyl cis-trans isomerase family protein;(source:Araport11)		IR	AT5G13410_P1	AT5G13410_P2	WT_24h	WT_0h
3308	AT5G21170	Encodes AKINbeta1, a subunit of the SnRK1 kinase (Sucrose non-fermenting-1-related protein kinase).  Involved in regulation of nitrogen and sugar metabolism. As part of the regulatory subunit, it binds maltose which promotes kinase activity. Acts as a global regulator of genes involved in carbon, lipid and nitrogen metabolism.	AKINBETA1	IR	AT5G21170.1	AT5G21170_c1	WT_24h	WT_0h
3450	AT5G53860	Encodes a plant-specific protein with a domain similar to the central cysteine-rich domain of DnaJ proteins. It is involved in chloroplast and leaf development.	ANU7,EMB2737,EMB64	A3	AT5G53860.3	AT5G53860.2	WT_24h	WT_0h
3451	AT5G53860	Encodes a plant-specific protein with a domain similar to the central cysteine-rich domain of DnaJ proteins. It is involved in chloroplast and leaf development.	ANU7,EMB2737,EMB64	A5	AT5G53860.3	AT5G53860.2	WT_24h	WT_0h
3452	AT5G53860	Encodes a plant-specific protein with a domain similar to the central cysteine-rich domain of DnaJ proteins. It is involved in chloroplast and leaf development.	ANU7,EMB2737,EMB64	ES	AT5G53860.3	AT5G53860.2	WT_24h	WT_0h
3525	AT5G65685	SS5 is a chloroplast-localized protein that is related to the canonical starch synthases (most closely to SS4), but is catalytically inactive. Arabidopsis ss5 mutants have near-normal total transitory starch contents, but produce fewer and larger starch granules in their chloroplast. SS5 can bind to starch in vitro, and interacts with MRC/PII1 in vivo.		A5	AT5G65685_ID9	AT5G65685_ID26	WT_24h	WT_0h
3526	AT5G65685	SS5 is a chloroplast-localized protein that is related to the canonical starch synthases (most closely to SS4), but is catalytically inactive. Arabidopsis ss5 mutants have near-normal total transitory starch contents, but produce fewer and larger starch granules in their chloroplast. SS5 can bind to starch in vitro, and interacts with MRC/PII1 in vivo.		IR	AT5G65685_ID9	AT5G65685_ID26	WT_24h	WT_0h
